Date/Time,Nits
Tue Dec 15 11:13:01 2020, 155.00
Tue Dec 15 11:13:02 2020, 155.00
Tue Dec 15 11:13:03 2020, 155.00
Tue Dec 15 11:13:04 2020, 155.00
Tue Dec 15 11:13:05 2020, 155.00
Tue Dec 15 11:13:06 2020, 155.00
Tue Dec 15 11:13:07 2020, 155.00
Tue Dec 15 11:13:08 2020, 155.00
Tue Dec 15 11:13:09 2020, 155.00
Tue Dec 15 11:13:10 2020, 155.00
Tue Dec 15 11:13:11 2020, 155.00
Tue Dec 15 11:13:12 2020, 155.00
Tue Dec 15 11:13:13 2020, 155.00
Tue Dec 15 11:13:14 2020, 155.00
Tue Dec 15 11:13:15 2020, 155.00
Tue Dec 15 11:13:16 2020, 155.00
Tue Dec 15 11:13:17 2020, 155.00
Tue Dec 15 11:13:18 2020, 155.00
Tue Dec 15 11:13:19 2020, 155.00
Tue Dec 15 11:13:20 2020, 155.00
Tue Dec 15 11:13:21 2020, 155.00
Tue Dec 15 11:13:22 2020, 155.00
Tue Dec 15 11:13:23 2020, 155.00
Tue Dec 15 11:13:24 2020, 155.00
Tue Dec 15 11:13:25 2020, 155.00
Tue Dec 15 11:13:26 2020, 155.00
Tue Dec 15 11:13:27 2020, 155.00
Tue Dec 15 11:13:28 2020, 155.00
Tue Dec 15 11:13:29 2020, 155.00
Tue Dec 15 11:13:30 2020, 155.00
Tue Dec 15 11:13:31 2020, 155.00
Tue Dec 15 11:13:32 2020, 155.00
Tue Dec 15 11:13:33 2020, 155.00
Tue Dec 15 11:13:34 2020, 155.00
Tue Dec 15 11:13:35 2020, 155.00
Tue Dec 15 11:13:36 2020, 155.00
Tue Dec 15 11:13:37 2020, 155.00
Tue Dec 15 11:13:38 2020, 155.00
Tue Dec 15 11:13:39 2020, 155.00
Tue Dec 15 11:13:40 2020, 155.00
Tue Dec 15 11:13:41 2020, 155.00
Tue Dec 15 11:13:42 2020, 155.00
Tue Dec 15 11:13:43 2020, 155.00
Tue Dec 15 11:13:44 2020, 155.00
Tue Dec 15 11:13:45 2020, 155.00
Tue Dec 15 11:13:46 2020, 155.00
Tue Dec 15 11:13:47 2020, 155.00
Tue Dec 15 11:13:48 2020, 155.00
Tue Dec 15 11:13:49 2020, 155.00
Tue Dec 15 11:13:50 2020, 155.00
Tue Dec 15 11:13:51 2020, 155.00
Tue Dec 15 11:13:52 2020, 155.00
Tue Dec 15 11:13:53 2020, 155.00
Tue Dec 15 11:13:54 2020, 155.00
Tue Dec 15 11:13:55 2020, 155.00
Tue Dec 15 11:13:56 2020, 155.00
Tue Dec 15 11:13:57 2020, 155.00
Tue Dec 15 11:13:58 2020, 155.00
Tue Dec 15 11:13:59 2020, 155.00
Tue Dec 15 11:14:00 2020, 155.00
Tue Dec 15 11:14:01 2020, 155.00
Tue Dec 15 11:14:02 2020, 155.00
Tue Dec 15 11:14:03 2020, 155.00
Tue Dec 15 11:14:04 2020, 155.00
Tue Dec 15 11:14:05 2020, 155.00
Tue Dec 15 11:14:06 2020, 155.00
Tue Dec 15 11:14:07 2020, 155.00
Tue Dec 15 11:14:08 2020, 155.00
Tue Dec 15 11:14:09 2020, 155.00
