Scan,Time,1001(c),1002(c),1003(c),1004(c),1005(c),1006(c),1007(c),1008(c),1009(c),1010(c),1011(c),1012(c),1013(c),1014(c),1015(c),1016(c),1017(c),1018(c),1019(c),1020(c),1021(c),1022(c),1023(c),1024(c),1025(c),1026(c),1027(c),1028(c),1029(c),1030(c),1031(c),1032(c),1033(c),1034(c),1035(c),1036(c),1037(c),1038(c),1039(c),1040(c),2001(c),2002(c),2003(c),2004(c),2005(c),2006(c),2007(c),2008(c),2009(c),2010(c),2011(c),2012(c),2013(c),2014(c),2015(c),2016(c),2017(c),2018(c),2019(c),2020(c),2021(c),2022(c),2023(c),2024(c),2025(c),2026(c),2027(c),2028(c),2029(c),2030(c),2031(c),2032(c),2033(c),2034(c),2035(c),2036(c),2037(c),2038(c),2039(c),2040(c),3006(c),3007(c),3008(c),3009(c),3016(c),3017(c),3018(c),3019(c),3026(c),3027(c),3028(c),3029(c),3036(c),3037(c),3038(c),3039(c),3040(c)
1,2020/12/15 11:12:25,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.194,25.17,25.17
2,2020/12/15 11:12:30,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,25.215,24.98,24.98
3,2020/12/15 11:12:35,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.712,24.828,24.828
4,2020/12/15 11:12:40,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.774,24.749,24.749
5,2020/12/15 11:12:45,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.953,24.721,24.721
6,2020/12/15 11:12:50,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.057,25.242,25.242
7,2020/12/15 11:12:55,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,25.098,24.927,24.927
8,2020/12/15 11:13:00,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,25.27,24.727,24.727
9,2020/12/15 11:13:05,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.937,24.927,24.927
10,2020/12/15 11:13:10,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,25.105,24.949,24.949
